model,.metric,.estimator,.estimate
decision_tree,f_meas,binary,0.9436304792098904
decision_tree,accuracy,binary,0.952722023354672
decision_tree,sensitivity,binary,0.9312330694743461
decision_tree,precision,binary,0.9563624335759612
decision_tree,specificity,binary,0.9686012956711324
log_reg,f_meas,binary,0.949889723283046
log_reg,accuracy,binary,0.9573916542974128
log_reg,sensitivity,binary,0.9503486274412069
log_reg,precision,binary,0.9494312621020797
log_reg,specificity,binary,0.9625961022200374
mlp,f_meas,binary,0.9502920390611825
mlp,accuracy,binary,0.9577354408043627
mlp,sensitivity,binary,0.9507128793731799
mlp,precision,binary,0.9498715711606864
mlp,specificity,binary,0.9629247657917888
xgboost,f_meas,binary,0.9538367594231384
xgboost,accuracy,binary,0.9605843067162197
xgboost,sensitivity,binary,0.958272065519337
xgboost,precision,binary,0.9494423212806856
xgboost,specificity,binary,0.9622929384081633
